Refactoring Type,Source File,Model,Split,Pos Train,Neg Train,Accuracy,TN,TP,FN,FP,Model Params,Approach,Type Split,Type File
Move Attribute,ratio_single,SVM,0.5,3,77,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,True
Move Attribute,ratio_single,LogisticRegression,0.5,3,77,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,True
Inline Method,ratio_split,RandomForest,0.2,12,24,0.5616197183098591,87,25,75,13,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",ratio,True,False
Inline Method,ratio_split,SVM,0.2,12,24,0.4454225352112676,64,25,75,36,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,True,False
Inline Method,ratio_split,LogisticRegression,0.2,12,24,0.4753521126760563,95,0,100,5,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,True,False
Inline Method,ratio_split,RandomForest,0.3,11,22,0.6236111111111111,85,40,60,15,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,True,False
Inline Method,ratio_split,SVM,0.3,11,22,0.6479166666666667,90,40,60,10,"[""{'C': 1, 'kernel': 'rbf'}""]",ratio,True,False
Inline Method,ratio_split,LogisticRegression,0.3,11,22,0.4791666666666667,96,0,100,4,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,True,False
Inline Method,ratio_split,RandomForest,0.4,9,18,0.6911196911196911,81,57,43,19,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",ratio,True,False
Inline Method,ratio_split,SVM,0.4,9,18,0.678088803088803,64,71,29,36,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,True,False
Inline Method,ratio_split,LogisticRegression,0.4,9,18,0.5545366795366795,97,14,86,3,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,True,False
Inline Method,ratio_split,RandomForest,0.5,8,16,0.7391666666666667,85,62,38,15,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",ratio,True,False
Inline Method,ratio_split,SVM,0.5,8,16,0.6683333333333333,59,75,25,41,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,True,False
Inline Method,ratio_split,LogisticRegression,0.5,8,16,0.6116666666666667,97,25,75,3,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,True,False
